"Country or Area","Year","Value","Value Footnotes","Unit"
"United Kingdom of Great Britain and Northern Ireland","2010","110990","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2009","160572","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2008","188705","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2007","161818","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2006","164671","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2005","156415.796875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2004","177599.796875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2003","118133.296875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2002","207415.703125","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2001","163850.296875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2000","229325.59375","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1999","197308.796875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1998","197675.90625","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1997","138592.5","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1996","127696.796875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1995","166854","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1994","196658.796875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1993","175134.59375","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1992","176594.40625","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1991","156863.203125","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1990","188399","","million cubic metres"

